,0
0,301.57367443962164
1,301.7249036388986
2,301.95189895900506
3,302.22500520328845
4,302.48698087638263
5,302.79245833607854
6,302.8524536281104
7,303.0464697968162
8,303.28412941221916
9,303.54093771399886
10,303.60242073798236
11,303.83335136049106
12,304.03813983716026
13,304.1142400668634
