,0
0,19942.820020791132
1,18391.438717980793
2,18933.547140560146
3,19482.76180185514
4,19202.60931341986
5,18621.18003329527
6,18418.26601023921
7,18197.8370627727
8,18150.687588585788
9,18931.30157930849
10,18780.54907765152
11,18589.260585569733
12,17797.13408869145
13,17804.857422415334
