,0,1,2,3,4
0,300.00276300119424,300.00068057545155,300.0162769631259,300.20877488401595,306.53579685972824
1,300.0034713244781,300.01874846289405,300.1178514273445,300.5897003628672,307.155436016212
2,300.01776798452585,300.07363464626144,300.28184449129895,300.9416991104292,308.1720993782709
3,300.0523570711114,300.1586352860286,300.4784673728892,301.27347292791785,308.4181565250544
4,300.1167928342982,300.2708754560854,300.67655589576714,301.5730705234423,308.82032001209376
5,300.20486119206856,300.41009375185786,300.8994050163708,301.84705066954626,309.15141565513557
6,300.3148338586392,300.54848129436965,301.10681075563133,302.11968912246357,309.33406049838754
7,300.43701323354907,300.6998230937455,301.30203291985447,302.35400534582453,309.5071144665461
8,300.58080081528914,300.8773472467884,301.5103743370327,302.6057816000417,310.3324669368907
9,300.74540735252714,301.0524597274373,301.7065349034235,302.7894291745649,310.0804456051935
10,300.9079017120752,301.22227575593735,301.86885097573685,303.0082431920202,310.5587029137394
11,301.072153090859,301.39954105416155,302.10463682166875,303.27505240713276,310.7555260688515
12,301.2470165102648,301.59449542129755,302.3335101862684,303.4776019405699,311.12304805275215
13,301.41326187021735,301.7451837622676,302.4668118855064,303.6367852539538,310.97525327331573
