,0
0,15734.693111925415
1,15555.160905608067
2,14820.55740081643
3,14802.695068279854
4,15068.94596071856
5,15378.306248031555
6,14440.972684650393
7,14546.453540179034
8,14315.397596250867
9,14688.873341376577
10,13976.75025750834
11,14641.795511504564
12,14475.97447125152
13,14488.148094727601
