,0
0,313.5530220018967
1,314.3489449473552
2,315.88810421344755
3,315.20616266225363
4,316.83277695596547
5,317.2182544484015
6,317.35285095589876
7,318.02500259003307
8,318.3662948754976
9,318.6715785437675
10,319.1888242211746
11,320.0750452255221
12,319.9762405495384
13,319.4855371165682
