,0
0,14779.411262926285
1,13960.418059802056
2,12582.634207070814
3,13179.667950355715
4,11993.99073953941
5,11767.53522463447
6,11640.771955833803
7,11470.27684611009
8,11375.79053294934
9,11307.845578403423
10,11101.158566481196
11,10737.382168257827
12,10916.898696320828
13,11360.54534372561
