,0
0,301.14398627640907
1,301.55442577186705
2,301.6615163416887
3,301.77547418935325
4,302.00555366027027
5,302.2842251227832
6,302.37261923481674
7,302.52276657038556
8,302.7174830863366
9,302.86422747777493
10,303.0621802099763
11,303.25285235823037
12,303.3998028939101
13,303.512415994058
