,0
0,311.139626032272
1,311.82537819417075
2,312.9314621233737
3,313.2846565486269
4,313.32110972718147
5,313.5352949737957
6,314.266759460106
7,314.515467908488
8,314.95043890819585
9,314.94296054517315
10,315.6791578635267
11,315.0594291784443
12,315.4817620890924
13,315.71253157483216
