,0,1,2,3,4
0,307.23723236180524,300.44224842270813,300.05371430916284,300.0203361700053,300.007149210293
1,308.66329631895354,301.2995213167977,300.296643482036,300.0609697012832,300.0186731430133
2,309.73818428604403,302.01260666493624,300.6799196390227,300.1882561088693,300.05587695072893
3,310.2761113527102,302.7651020579656,301.1113804424037,300.39464260096327,300.1478897240245
4,311.61366816250654,303.4289038967737,301.5842206969832,300.6614144523853,300.2980162913959
5,312.44850068577654,304.0496906763705,302.01070789592046,300.94591595117527,300.5008616433703
6,312.5630197979616,304.6291544320376,302.4605971695067,301.275900067495,300.74971814606425
7,313.7652342975745,305.21417008305707,302.95281090078413,301.63439511353494,301.042751555656
8,314.27607329950695,305.76452164291976,303.4165249854057,302.0075814887723,301.37329656491363
9,314.76611306441623,306.2523769923083,303.8635474208583,302.4135281993881,301.71689932328354
10,315.00899619659117,306.68254290378,304.37640286176503,302.84105902160826,302.0856671793622
11,315.87272079139217,307.19030718513784,304.78359679951996,303.2147598757953,302.487261359221
12,315.8782655269414,307.5967481846634,305.1768369971742,303.6170031050147,302.86266251892005
13,316.2047288154656,307.86897631336524,305.53178917557454,303.98602456831196,303.2478923644906
