,0,1,2
526,10,5228,2133.4092
528,10,5232,3075.897
530,10,5239,1987.2664
532,10,5253,2324.7966
534,10,5283,1942.3105
536,10,5288,3303.46
538,10,5304,1046.7373
540,11,23,126.21817
542,11,183,560.1023
544,11,422,417.21088
546,11,427,111.5863
548,11,650,609.8402
550,11,697,2012.4456
552,11,712,102.524475
554,11,1181,233.29376
556,11,1615,254.388
558,11,1731,189.05872
560,11,2257,154.24591
562,11,2425,503.31683
564,11,2632,330.95874
566,11,2677,301.96277
568,11,3317,445.8396
570,11,3354,356.39795
572,11,3454,308.77637
574,11,3564,359.13263
576,11,3578,309.82275
578,11,3601,221.37024
580,11,4103,188.91211
582,11,4723,4.029068
584,11,4740,212.0943
586,11,6552,719.7905
588,11,6569,1717.3772
590,11,6615,3244.2297
592,11,6618,1332.5325
594,11,6623,2756.0537
596,11,6639,3977.1235
598,11,6649,4236.899
600,11,6672,866.08154
602,11,6677,1163.5698
604,11,6691,2398.1206
606,11,6696,3429.9834
608,11,6707,110.10321
610,11,6708,3935.8848
612,11,6720,1758.9679
614,11,6743,1234.0635
616,11,6749,2663.438
618,12,39,1866.425
620,12,205,121.859924
622,12,374,1083.9799
624,12,643,1017.0857
626,12,1416,227.10724
628,12,1495,447.99048
630,12,1650,744.5398
632,12,2792,110.48535
634,12,4178,233.46484
636,12,5211,978.5148
638,12,5246,2201.46
640,12,5255,1982.4902
642,12,5257,1764.3335
644,12,5284,1898.9993
646,12,5325,775.6244
648,12,5334,1710.0767
650,12,5335,921.51086
652,12,5347,1391.7408
654,13,320,1478.4631
656,13,541,205.20105
658,13,664,249.48047
660,13,1271,633.2672
662,13,2194,132.93103
664,13,2239,23.553123
666,13,2673,203.34375
668,13,2805,317.16748
670,13,2828,150.31311
672,13,2886,186.35547
674,13,2983,239.79102
676,13,3003,151.42297
678,13,3393,354.24066
680,13,4026,191.31049
682,13,4116,309.5509
684,13,4295,225.98401
686,13,6685,842.9514
688,13,6689,3426.6094
690,13,6697,2518.7192
692,13,6732,2393.9622
694,13,6738,4118.8213
696,13,6744,1802.98
698,13,6750,843.6642
700,13,6770,1061.7991
702,13,6773,1681.9531
704,13,6800,3552.1543
706,13,6808,2528.4417
708,13,6815,2132.9136
710,14,242,161.44733
712,14,297,154.21436
714,14,520,903.9636
716,14,695,463.46777
718,14,904,171.49634
720,14,1088,13.337036
722,14,1576,672.8225
724,14,1805,120.447815
726,14,1955,632.3814
728,14,2205,181.46033
730,14,2408,717.542
732,14,2445,32.913548
734,14,2465,20.038887
736,14,2866,237.14508
738,14,3165,215.39734
740,14,7623,2152.3335
742,14,7685,2370.8994
744,14,7686,2434.7712
746,14,7701,2526.3328
748,14,7739,3255.7646
750,14,7756,1393.1064
752,14,7764,4171.8184
754,14,7790,4280.9795
756,14,7824,274.29053
758,15,32,907.9136
760,15,88,276.6632
762,15,165,812.39307
764,15,467,1179.5635
766,15,469,103.548645
768,15,829,168.16226
770,15,1337,892.5122
772,15,1383,189.65607
774,15,1621,225.05286
776,15,1883,159.9856
778,15,2394,648.33203
780,15,3041,329.8027
782,15,3369,184.3675
784,15,3451,149.09805
786,15,4617,202.8341
788,15,4714,116.14307
790,15,4849,181.92734
792,15,5549,950.11523
794,15,5560,980.0949
796,15,5563,3477.784
798,15,5573,1463.3804
800,15,5576,2351.3938
802,15,5605,640.4096
804,15,5620,667.9231
806,15,5621,2796.1196
808,15,5631,3545.4727
810,15,5638,2405.2874
812,15,5648,1695.1968
814,15,5658,2109.0151
816,15,5698,1814.4895
818,15,5699,617.23175
820,16,75,291.6183
822,16,117,192.15216
824,16,132,648.9034
826,16,331,1195.7856
828,16,592,805.47034
830,16,666,128.20401
832,16,749,765.9297
834,16,1085,997.3367
836,16,1173,1061.7566
838,16,1179,134.22406
840,16,1248,346.3451
842,16,2732,710.85364
844,16,3389,345.1112
846,16,3573,4.8418036
848,16,4216,175.1513
850,16,4392,275.33362
852,16,4461,155.17603
854,16,6143,760.34033
856,16,6146,450.99207
